timestamp_us,wall_us,gpu_us
1929931.812,5200.599,5012.480
1935143.912,4871.269,4688.896
1940024.514,4938.859,4806.656
1944975.087,5259.001,5064.704
1950245.840,5068.614,4911.104
1955322.237,4635.996,4484.096
1960183.299,5176.887,5043.200
1965375.711,5032.496,4901.888
1970419.875,4930.357,4668.416
1975353.212,4924.697,4737.024
1980288.892,5145.805,4984.832
1985443.032,4817.375,4683.776
1990262.568,5208.121,4927.488
1995478.557,5166.475,4950.016
2000648.748,4978.238,4935.680
2005629.934,4816.149,4653.056
2010448.232,5201.924,5008.384
2015659.386,5064.367,4948.992
2020731.340,4874.003,4634.624
2025612.684,5141.633,5001.216
2030763.628,5063.644,4929.536
2035829.823,4873.889,4669.440
2040712.060,5143.939,4954.112
2046195.171,5304.799,5084.160
2051507.859,4879.736,4714.496
2056400.215,5038.485,4685.824
2061450.682,5436.501,5224.448
2066900.055,5163.799,5024.768
2072080.866,4925.072,4693.952
2077016.400,5240.717,5068.800
2082271.410,5000.178,4926.464
2087282.778,4861.714,4680.704
2092158.841,5147.185,4963.328
2097318.839,5274.361,5128.192
2102606.667,5103.446,4941.824
2107721.232,5334.948,5153.792
2113070.154,5112.280,4974.592
2118192.939,5011.121,4873.216
2123217.883,4819.103,4687.872
2128040.731,5197.117,5045.248
2133578.647,5087.047,4878.336
2138680.346,5009.616,4824.064
2143702.048,5251.966,5073.920
2148968.685,6064.362,5856.256
2155050.299,5288.379,4884.480
2160349.474,5376.866,5252.096
2165745.198,4719.198,4571.136
2170477.521,5836.402,5687.296
2176342.605,5381.896,5067.776
2181739.447,5933.397,5689.344
2187689.104,4849.992,4696.064
2192550.226,5221.645,5000.192
2197785.008,6216.488,6084.608
2204017.303,4805.939,4676.608
2208833.121,5092.669,4951.040
2213934.780,6142.970,5908.480
2220090.971,4843.560,4712.448
2224948.604,5054.260,4917.248
2230302.954,6019.749,5864.448
2236387.722,4835.230,4680.704
2241238.229,5149.546,4994.048
2246397.228,6084.355,5923.840
2252494.052,4988.298,4856.832
2257492.610,4960.669,4752.384
2262465.980,6218.351,6048.768
2268700.773,5018.377,4891.648
2273738.306,5058.498,4903.936
2278809.355,6075.373,5901.312
2284903.805,5179.357,4950.016
2290095.359,4810.689,4639.744
2294917.250,5083.930,4888.576
2300012.333,5887.536,5638.144
2305914.706,4859.033,4687.872
2310786.058,5350.542,5094.400
2316148.756,6037.751,5859.328
2322799.209,4877.540,4698.112
2327686.665,5252.701,5086.208
2332956.409,6103.790,5842.944
2339077.491,4943.732,4676.608
2344040.039,5231.865,5028.864
2349285.084,6174.247,6020.096
2355469.205,4806.483,4670.464
2360280.848,5222.301,5072.896
2365513.414,5081.924,4921.344
2370602.399,4806.849,4667.392
2375417.711,5084.526,4961.280
2380517.024,5134.325,4957.184
2385663.057,4816.079,4705.280
2390489.452,5091.608,4946.944
2395598.971,5290.602,5112.832
2400899.704,5038.237,4872.192
2405948.272,4811.567,4669.440
2411156.915,5183.494,5046.272
2416351.458,5212.396,5020.672
2421569.365,4723.452,4616.192
2426304.004,5211.190,5050.368
2431527.112,5088.562,4957.184
2436620.123,4882.113,4696.064
2441509.369,4895.516,4728.832
2446415.334,5168.314,5011.456
2451586.117,4855.583,4711.424
2456445.500,4819.315,4668.416
2461278.522,5165.829,5019.648
2466453.035,4893.182,4726.784
2471356.803,4819.264,4663.296
2476185.689,5157.885,4996.096
2481345.762,5101.388,4954.112
2486455.422,4825.717,4668.416
2491288.193,5120.064,4952.064
2496900.259,5134.028,4970.496
2502044.161,4845.615,4712.448
2506892.342,4655.737,4473.856
2511551.788,5240.586,5070.848
2516799.651,5074.653,4917.248
2521882.925,4774.217,4629.504
2526666.018,4926.396,4739.072
2531600.438,5077.178,4916.224
2536682.042,4826.785,4680.704
2541515.260,4864.869,4745.216
2546392.343,5134.986,4950.016
2551540.688,4795.922,4663.296
2556348.064,4844.558,4648.960
2561200.588,5184.618,5018.624
2566394.447,5061.733,4923.392
2571469.706,4749.691,4681.536
2576227.365,5245.126,5052.416
2581968.974,5127.464,4946.944
2587104.907,4823.575,4688.896
2591931.268,4930.088,4773.888
2596871.305,5135.092,4999.168
2602022.043,5073.713,4897.792
2607144.164,6070.419,5789.696
2613256.721,6245.963,6027.264
2619516.017,4978.291,4829.184
2624507.552,5137.856,5000.192
2629662.834,6065.773,5906.432
2635747.849,4692.553,4510.720
2640451.510,5126.653,4919.296
2645589.351,6219.244,6063.104
2651826.072,5020.220,4883.456
2656857.817,4879.131,4643.840
2661746.484,6447.343,6301.696
2668216.549,5116.163,4926.464
2673598.866,4802.510,4672.512
2678404.994,5385.009,5202.944
2683800.209,5964.655,5832.704
2689776.867,4859.436,4625.408
2694641.607,5374.746,5202.944
2700029.355,5847.218,5704.704
2705887.973,4753.703,4673.408
2710646.818,5219.959,5043.200
2715879.121,6250.197,5871.616
2722155.489,4925.359,4716.544
2727092.555,5257.744,5087.232
2732370.905,6319.651,6129.664
2738721.400,5101.837,4901.888
2743854.404,5341.973,5060.608
2749215.660,5835.962,5742.592
2755070.861,4897.384,4697.088
2760057.771,5307.116,5027.840
